iter	Passed	Remaining
0	0	86
1	1	74
2	2	68
3	2	61
4	3	59
5	3	58
6	4	57
7	4	55
8	5	55
9	6	54
10	6	53
11	7	52
12	7	51
13	8	51
14	8	50
15	9	49
16	10	49
17	10	49
18	11	49
19	12	48
20	12	48
21	13	48
22	14	47
23	14	46
24	15	46
25	15	45
26	16	44
27	17	43
28	17	43
29	18	42
30	18	41
31	19	41
32	19	40
33	20	39
34	21	39
35	21	38
36	22	38
37	22	37
38	23	36
39	24	36
40	24	35
41	25	34
42	25	34
43	26	33
44	26	32
45	27	32
46	28	32
47	29	31
48	29	30
49	30	30
50	30	29
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	40	19
67	40	19
68	41	18
69	41	17
70	42	17
71	43	16
72	43	16
73	44	15
74	44	14
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	49	10
82	49	10
83	50	9
84	50	8
85	51	8
86	52	7
87	52	7
88	53	6
89	54	6
90	54	5
91	55	4
92	55	4
93	56	3
94	56	2
95	57	2
96	58	1
97	58	1
98	59	0
99	59	0
